MONTH,YEAR,ENSEIGNE,NB_ID_ABONNE
12,2022,Mobile Payment,743693
12,2021,Mobile Payment,513967
3,2023,Mobile Payment,511448
6,2023,Mobile Payment,503948
9,2023,Mobile Payment,502569
4,2023,Mobile Payment,475133
11,2022,Mobile Payment,464604
6,2022,Mobile Payment,419323
1,2021,Mobile Payment,416382
1,2022,Mobile Payment,349959
4,2022,Mobile Payment,348682
7,2022,Mobile Payment,336627
1,2023,Mobile Payment,326498
2,2023,Mobile Payment,281005
5,2023,Mobile Payment,279053
11,2021,Mobile Payment,259704
5,2022,Mobile Payment,255963
7,2021,Mobile Payment,252888
2,2022,Mobile Payment,248507
8,2023,Mobile Payment,242466
8,2022,Mobile Payment,236120
7,2023,Mobile Payment,217784
5,2021,Mobile Payment,200649
6,2021,Mobile Payment,197028
10,2022,Mobile Payment,193728
9,2022,Mobile Payment,184858
3,2022,Mobile Payment,181987
3,2021,Mobile Payment,155813
2,2021,Mobile Payment,154671
4,2021,Mobile Payment,150435
10,2023,Mobile Payment,144847
9,2021,Mobile Payment,142492
10,2021,Mobile Payment,139928
8,2021,Mobile Payment,126992
12,2022,Points de ventes Agréés indépendants,123956
12,2021,Points de ventes Agréés indépendants,118938
1,2021,Points de ventes Agréés indépendants,109706
11,2022,Points de ventes Agréés indépendants,82069
3,2023,Points de ventes Agréés indépendants,79610
1,2022,Points de ventes Agréés indépendants,78681
6,2022,Points de ventes Agréés indépendants,76069
6,2023,Points de ventes Agréés indépendants,71297
4,2022,Points de ventes Agréés indépendants,68045
7,2021,Points de ventes Agréés indépendants,65848
4,2023,Points de ventes Agréés indépendants,65667
11,2021,Points de ventes Agréés indépendants,62408
9,2023,Points de ventes Agréés indépendants,60364
7,2022,Points de ventes Agréés indépendants,56913
1,2023,Points de ventes Agréés indépendants,55100
6,2021,Points de ventes Agréés indépendants,54183
2,2022,Points de ventes Agréés indépendants,52932
5,2021,Points de ventes Agréés indépendants,49163
2,2023,Points de ventes Agréés indépendants,45444
8,2022,Points de ventes Agréés indépendants,42222
5,2023,Points de ventes Agréés indépendants,42143
5,2022,Points de ventes Agréés indépendants,42061
3,2021,Points de ventes Agréés indépendants,41806
4,2021,Points de ventes Agréés indépendants,40834
7,2023,Points de ventes Agréés indépendants,40566
2,2021,Points de ventes Agréés indépendants,40444
3,2022,Points de ventes Agréés indépendants,40052
12,2021,Agences,39460
9,2021,Points de ventes Agréés indépendants,38740
12,2022,Agences,38645
10,2021,Points de ventes Agréés indépendants,36809
9,2023,Agences,35347
8,2021,Points de ventes Agréés indépendants,35276
10,2022,Points de ventes Agréés indépendants,33959
8,2023,Points de ventes Agréés indépendants,33259
1,2021,Agences,32154
9,2022,Points de ventes Agréés indépendants,31969
1,2022,Agences,27064
6,2022,Agences,26597
3,2023,Agences,25678
11,2022,Agences,24993
4,2022,Agences,24070
12,2021,Boutiques CANAL+,22018
11,2021,Agences,22008
7,2021,Agences,20142
4,2023,Agences,19924
6,2023,Agences,19855
1,2021,Boutiques CANAL+,19855
12,2022,Boutiques CANAL+,19685
2,2022,Agences,19416
10,2023,Points de ventes Agréés indépendants,19063
7,2022,Agences,18960
1,2023,Agences,17194
6,2021,Agences,17115
8,2023,Agences,16834
5,2021,Agences,15005
5,2022,Agences,14849
2,2023,Agences,14724
1,2022,Boutiques CANAL+,14627
7,2023,Agences,14584
3,2022,Agences,14458
8,2022,Agences,14118
6,2022,Boutiques CANAL+,13281
10,2021,Agences,13209
3,2021,Agences,13120
9,2021,Agences,13041
11,2022,Boutiques CANAL+,13040
1,2021,Réseau d'encaissement,12794
5,2023,Agences,12779
4,2021,Agences,12543
2,2021,Agences,12495
4,2022,Boutiques CANAL+,12386
3,2023,Boutiques CANAL+,12014
2,2022,Boutiques CANAL+,11873
10,2023,Agences,11842
8,2021,Agences,11469
7,2021,Boutiques CANAL+,10922
10,2022,Agences,10905
11,2021,Boutiques CANAL+,10801
6,2021,Boutiques CANAL+,10771
9,2022,Agences,10459
7,2022,Boutiques CANAL+,9803
9,2023,Boutiques CANAL+,9768
4,2023,Boutiques CANAL+,9163
6,2023,Boutiques CANAL+,8908
5,2021,Boutiques CANAL+,8776
1,2023,Boutiques CANAL+,8728
8,2022,Boutiques CANAL+,8658
3,2021,Boutiques CANAL+,8105
4,2021,Boutiques CANAL+,8097
5,2022,Boutiques CANAL+,7985
9,2021,Boutiques CANAL+,7869
2,2023,Boutiques CANAL+,7646
10,2021,Boutiques CANAL+,7595
2,2021,Boutiques CANAL+,7536
7,2023,Boutiques CANAL+,7454
5,2023,Boutiques CANAL+,7230
3,2022,Boutiques CANAL+,6957
8,2021,Boutiques CANAL+,6445
10,2022,Boutiques CANAL+,6279
8,2023,Boutiques CANAL+,5996
12,2022,Points de ventes Agréés (PVA),5659
9,2022,Boutiques CANAL+,5645
12,2021,Points de ventes Agréés (PVA),5128
6,2022,Points de ventes Agréés (PVA),3708
11,2022,Points de ventes Agréés (PVA),3567
3,2023,Points de ventes Agréés (PVA),3462
1,2022,Points de ventes Agréés (PVA),3451
6,2023,Points de ventes Agréés (PVA),3353
7,2021,Points de ventes Agréés (PVA),3274
4,2022,Points de ventes Agréés (PVA),3204
4,2023,Points de ventes Agréés (PVA),2971
2,2022,Points de ventes Agréés (PVA),2759
7,2022,Points de ventes Agréés (PVA),2672
6,2021,Points de ventes Agréés (PVA),2555
10,2023,Boutiques CANAL+,2537
11,2021,Points de ventes Agréés (PVA),2519
1,2021,Points de ventes Agréés (PVA),2512
1,2023,Points de ventes Agréés (PVA),2477
8,2022,Points de ventes Agréés (PVA),2163
5,2022,Points de ventes Agréés (PVA),2083
5,2023,Points de ventes Agréés (PVA),2061
2,2023,Points de ventes Agréés (PVA),1910
3,2022,Points de ventes Agréés (PVA),1816
10,2021,Points de ventes Agréés (PVA),1711
5,2021,Points de ventes Agréés (PVA),1694
8,2021,Points de ventes Agréés (PVA),1641
9,2021,Points de ventes Agréés (PVA),1612
9,2022,Points de ventes Agréés (PVA),1492
10,2022,Points de ventes Agréés (PVA),1445
7,2023,Points de ventes Agréés (PVA),1351
4,2021,Points de ventes Agréés (PVA),1311
3,2021,Points de ventes Agréés (PVA),1154
2,2021,Points de ventes Agréés (PVA),1150
9,2023,Points de ventes Agréés (PVA),994
12,2021,VAD CANAL+,525
12,2022,VAD CANAL+,480
8,2023,Points de ventes Agréés (PVA),455
6,2022,VAD CANAL+,332
10,2023,Points de ventes Agréés (PVA),315
11,2022,VAD CANAL+,252
7,2022,VAD CANAL+,204
6,2022,Dépôt SAV,183
5,2022,VAD CANAL+,180
1,2022,VAD CANAL+,179
6,2023,VAD CANAL+,166
2,2022,VAD CANAL+,157
1,2023,VAD CANAL+,152
2,2023,VAD CANAL+,137
4,2022,VAD CANAL+,135
8,2022,VAD CANAL+,130
7,2023,VAD CANAL+,128
7,2023,Grossiste conquête,115
5,2023,VAD CANAL+,105
10,2022,VAD CANAL+,99
12,2021,Stand CANAL+,91
9,2023,VAD CANAL+,88
8,2022,Dépôt SAV,86
6,2022,Stand CANAL+,79
4,2023,Dépôt SAV,76
12,2022,Stand CANAL+,75
3,2023,VAD CANAL+,74
1,2021,VAD CANAL+,73
12,2022,Dépôt SAV,68
8,2023,VAD CANAL+,65
9,2022,Dépôt SAV,61
3,2023,Dépôt SAV,59
5,2023,Dépôt Logistique secondaire,59
10,2022,Dépôt SAV,58
6,2023,Dépôt SAV,58
9,2023,Dépôt SAV,57
6,2023,Dépôt Logistique secondaire,57
11,2022,Dépôt SAV,54
5,2022,Stand CANAL+,53
11,2022,Stand CANAL+,52
3,2022,VAD CANAL+,51
1,2022,Divers,46
7,2022,Dépôt SAV,45
7,2021,VAD CANAL+,45
5,2022,Dépôt SAV,44
11,2021,VAD CANAL+,43
10,2023,VAD CANAL+,42
4,2023,VAD CANAL+,41
12,2021,Divers,37
1,2022,Dépôt SAV,36
12,2021,Dépôt SAV,33
9,2021,VAD CANAL+,33
12,2022,Divers,33
3,2021,VAD CANAL+,32
1,2023,Dépôt SAV,31
6,2021,VAD CANAL+,30
2,2023,Dépôt SAV,29
1,2023,Divers,28
5,2023,Dépôt SAV,27
1,2022,Stand CANAL+,27
11,2022,Divers,27
7,2023,Dépôt SAV,26
8,2023,Dépôt SAV,26
7,2022,Stand CANAL+,25
1,2023,Stand CANAL+,24
10,2023,Dépôt SAV,23
5,2021,VAD CANAL+,22
10,2021,VAD CANAL+,22
10,2022,Stand CANAL+,21
4,2022,Stand CANAL+,20
4,2021,VAD CANAL+,19
9,2022,VAD CANAL+,19
8,2021,VAD CANAL+,18
7,2022,Divers,15
2,2022,Dépôt SAV,13
6,2023,Divers,13
2,2021,VAD CANAL+,11
6,2023,Grossiste conquête,10
4,2023,Dépôt Logistique secondaire,10
7,2022,VAD,8
5,2022,Divers,8
2,2022,Stand CANAL+,7
7,2023,Dépôt Logistique secondaire,7
8,2022,Divers,7
3,2022,Divers,7
6,2022,Divers,7
5,2023,Divers,7
3,2023,Divers,6
8,2023,Divers,6
8,2023,Grossiste conquête,5
7,2023,Divers,5
2,2022,Divers,5
8,2022,Stand CANAL+,5
2,2023,Divers,4
4,2022,Divers,4
12,2021,VAD,3
6,2023,Dépôt interne Filiale,3
2,2023,Stand CANAL+,3
7,2023,VAD,2
10,2022,Divers,2
7,2022,Grossiste transitoire,2
