MONTH,YEAR,TYPE_PROMON,NB_ID_ABONNE
12,2022,ODD 15 jours TC,468574
12,2021,ODD 15 jours TC,394883
6,2023,ODD 15 jours TC,379507
9,2023,ODD 15 jours TC,372075
3,2023,ODD 15 jours TC,367850
1,2021,ODD 15 jours TC,351578
6,2022,Autres,324873
11,2022,ODD 15 jours TC,319748
7,2021,ODD 15 jours TC,317260
4,2023,ODD 15 jours TC,302551
7,2022,ODD 15 jours TC,288913
12,2022,Semaine genéreuse,273787
2,2023,Semaine genéreuse,250078
4,2023,Semaine genéreuse,248439
2,2022,Semaine genéreuse,246440
3,2023,Semaine genéreuse,243409
12,2021,Semaine genéreuse,238305
5,2023,Semaine genéreuse,238093
4,2022,Semaine genéreuse,236782
11,2022,Semaine genéreuse,231808
5,2022,Semaine genéreuse,227960
1,2022,Semaine genéreuse,225889
8,2022,Semaine genéreuse,224989
10,2022,Semaine genéreuse,221557
7,2023,Semaine genéreuse,214673
9,2023,Semaine genéreuse,213989
3,2022,Semaine genéreuse,210843
9,2022,Semaine genéreuse,209826
6,2023,Semaine genéreuse,208911
1,2023,Semaine genéreuse,206216
4,2022,ODD 15 jours TC,204670
3,2021,Semaine genéreuse,202992
1,2022,ODD 15 jours TC,198754
11,2021,Semaine genéreuse,198009
4,2021,Semaine genéreuse,196708
8,2023,Semaine genéreuse,196302
1,2021,Semaine genéreuse,196057
6,2022,Semaine genéreuse,196033
2,2021,Semaine genéreuse,191906
5,2021,Semaine genéreuse,186728
9,2021,Semaine genéreuse,184845
10,2021,Semaine genéreuse,179360
1,2023,ODD 15 jours TC,174347
8,2021,Semaine genéreuse,166254
10,2023,Semaine genéreuse,156582
12,2022,Autres,152296
6,2021,Semaine genéreuse,150845
11,2021,ODD 15 jours TC,143085
7,2022,Semaine genéreuse,104587
5,2023,ODD 15 jours TC,85929
2,2023,ODD 15 jours TC,84395
5,2021,ODD 15 jours EV+,78988
8,2023,ODD 15 jours TC,78298
5,2022,ODD 15 jours TC,77421
6,2021,ODD 15 jours TC,69474
6,2021,Autres,57872
2,2022,Autres,51309
8,2022,Autres,45180
7,2023,Autres,36603
1,2021,ODD 15 jours EV+,36113
12,2021,Autres,34909
11,2022,ODD 21 jours EV+ ,31819
8,2022,ODD 21 jours EV+ ,23458
1,2022,ODD 21 jours EV+ ,22132
12,2021,ODD 21 jours EV+ ,20936
7,2021,Autres,20666
7,2022,ODD 21 jours EV+ ,19095
10,2023,ODD 21 jours EV+ ,18639
3,2022,Autres,18465
8,2023,ODD 21 jours EV+ ,18359
9,2023,ODD 21 jours EV+ ,17776
12,2022,ODD 21 jours EV+ ,17720
2,2021,ODD 15 jours EV+,17459
3,2023,ODD 21 jours EV+ ,17196
9,2022,ODD 21 jours EV+ ,16705
10,2022,ODD 21 jours EV+ ,16480
7,2023,ODD 21 jours EV+ ,16192
6,2023,ODD 21 jours EV+ ,16002
2,2022,ODD 15 jours TC,15634
4,2023,ODD 21 jours EV+ ,14807
10,2021,ODD 21 jours EV+ ,14543
1,2022,ODD 15 jours EV+,14093
11,2021,ODD 21 jours EV+ ,13629
5,2023,ODD 21 jours EV+ ,13549
6,2022,ODD 21 jours EV+ ,13155
1,2022,ODD 7 jours autre que SG,13087
9,2021,ODD 21 jours EV+ ,13039
3,2021,ODD 15 jours EV+,12961
5,2022,ODD 21 jours EV+ ,12583
2,2022,ODD 21 jours EV+ ,12536
12,2022,ODD 15 jours EV+,12180
1,2023,ODD 21 jours EV+ ,11842
4,2022,ODD 21 jours EV+ ,11815
3,2022,ODD 21 jours EV+ ,11733
2,2023,ODD 21 jours EV+ ,11401
1,2023,ODD 7 jours autre que SG,9991
1,2021,ODD 7 jours autre que SG,9726
4,2021,ODD 15 jours EV+,8863
12,2021,ODD 15 jours EV+,8787
5,2021,ODD 15 jours TC,8474
7,2021,Semaine genéreuse,7939
1,2023,ODD 15 jours EV+,7820
12,2022,ODD 7 jours autre que SG,7738
7,2023,ODD 15 jours EV+,7203
4,2021,ODD 15 jours TC,6620
7,2023,ODD 7 jours autre que SG,6512
7,2022,ODD 15 jours EV+,6137
7,2022,ODD 7 jours autre que SG,5898
2,2022,ODD 7 jours autre que SG,5875
8,2021,ODD 7 jours autre que SG,5447
8,2022,ODD 7 jours autre que SG,5382
8,2021,ODD 15 jours EV+,5336
9,2022,ODD 15 jours EV+,5266
10,2022,ODD 15 jours EV+,5061
2,2021,ODD 7 jours autre que SG,5054
4,2023,ODD 15 jours EV+,4699
5,2023,ODD 15 jours EV+,4009
7,2021,ODD 15 jours EV+,3954
2,2022,ODD 15 jours EV+,3877
11,2022,ODD 15 jours EV+,3693
8,2022,ODD 15 jours EV+,3487
7,2021,ODD 7 jours autre que SG,3300
8,2021,ODD 21 jours EV+ ,3292
9,2023,ODD 15 jours EV+,2945
2,2023,ODD 15 jours EV+,2944
3,2021,ODD 15 jours TC,2930
10,2021,ODD 7 jours autre que SG,2914
9,2021,ODD 15 jours EV+,2854
6,2022,ODD 15 jours EV+,2827
5,2022,ODD 15 jours EV+,2813
10,2022,ODD 7 jours autre que SG,2680
8,2023,ODD 7 jours autre que SG,2662
9,2021,ODD 7 jours autre que SG,2544
4,2023,ODD 7 jours autre que SG,2486
5,2022,ODD 7 jours autre que SG,2445
3,2022,ODD 7 jours autre que SG,2430
9,2023,ODD 7 jours autre que SG,2399
12,2021,ODD 7 jours autre que SG,2380
3,2023,ODD 15 jours EV+,2311
6,2023,ODD 15 jours EV+,2248
9,2022,ODD 7 jours autre que SG,2109
2,2023,ODD 7 jours autre que SG,2070
6,2021,ODD 15 jours EV+,2054
10,2021,ODD 15 jours EV+,2020
4,2022,ODD 15 jours EV+,1991
8,2023,Autres,1966
10,2023,ODD 7 jours autre que SG,1919
6,2022,ODD 7 jours autre que SG,1903
2,2021,ODD 15 jours TC,1888
5,2023,ODD 7 jours autre que SG,1876
11,2022,ODD 7 jours autre que SG,1589
3,2023,ODD 7 jours autre que SG,1573
8,2023,ODD 15 jours EV+,1527
11,2021,ODD 15 jours EV+,1441
3,2022,ODD 15 jours EV+,1439
6,2021,ODD 7 jours autre que SG,1438
8,2021,ODD 15 jours TC,1408
11,2021,ODD 7 jours autre que SG,1319
10,2023,ODD 15 jours EV+,1300
4,2022,ODD 7 jours autre que SG,1284
3,2021,ODD 7 jours autre que SG,1147
5,2021,ODD 7 jours autre que SG,1119
4,2021,ODD 7 jours autre que SG,1048
8,2022,ODD 15 jours TC,1014
6,2023,ODD 7 jours autre que SG,992
7,2023,ODD 15 jours TC,839
6,2022,ODD 15 jours TC,788
10,2022,ODD 15 jours TC,718
7,2022,Autres,644
9,2022,ODD 15 jours TC,564
9,2021,ODD 15 jours TC,505
10,2021,ODD 15 jours TC,437
3,2022,ODD 15 jours TC,419
10,2023,ODD 15 jours TC,228
1,2022,Autres,115
8,2021,Autres,104
9,2022,Autres,33
1,2023,Autres,16
2,2023,Autres,15
3,2023,Autres,13
5,2023,Autres,8
6,2023,Autres,8
5,2022,Autres,4
4,2023,Autres,4
9,2023,Autres,4
4,2022,Autres,4
11,2022,Autres,3
1,2021,Autres,2
10,2023,Autres,1
